name,label1,label2,Postnum,Integral,Essence,Votenum,active,totaltimes,date1,date2
XQY0518,unknown,identified doctor,226,2,0,44,1672,38,2013-09-12,2018-06-20
lonelyreader,unknown,unknown,1575,266,9,36,262,16,2002-10-09,2003-08-27
rjhoo7,unknown,unknown,1436,165,9,198,1,17,2004-04-22,2004-05-31
DF_Shi,others,practicing doctor,132,16,0,182,20,18,2016-06-27,2016-09-15
普度众生慈悲为怀,unknown,unknown,33,9,0,1,1,2,2010-11-01,2010-11-01
白白子,others,practicing doctor,1,0,0,0,1,1,2018-01-08,2018-01-08
zyzznzs,unknown,unknown,0,0,0,0,11,5,2004-12-10,2004-12-20
rolor,unknown,unknown,14,0,0,0,1,1,2006-08-11,2006-08-11
hu15822376890,unknown,unknown,2,0,0,0,1,1,2018-08-08,2018-08-08
山水又一程,unknown,medical student,0,0,0,39,1,1,2018-12-06,2018-12-06
aobo012,unknown,unknown,0,0,0,0,28,18,2016-10-11,2017-01-19
黄儿医生,others,practicing doctor,11,0,0,1,1,1,2018-08-08,2018-08-08
年少轻狂,unknown,unknown,12,0,0,2,1,3,2004-02-03,2004-06-21
poisson1124,others,practicing doctor,591,20,0,296,1,2,2005-04-28,2015-11-03
liyajun922,nero,specialist,289,54,0,20,1,55,2003-08-20,2005-07-29
PH917,unknown,unknown,7,0,0,0,1,1,2018-03-05,2018-03-05
wuyinhua2006,nero,practicing doctor,106,4,0,1,1,5,2006-08-26,2011-06-13
ksyaoyaoyjyicu,others,practicing doctor,3,0,0,6,1,1,2016-04-26,2016-04-26
上帝子民,unknown,unknown,3,0,0,1,1,1,2017-11-16,2017-11-16
kfsjnk2014,nero,practicing doctor,84,0,0,19,200,28,2015-03-19,2017-05-02
foxet,others,identified doctor,1800,325,3,230,1,17,2003-09-26,2006-07-06
小思佳佳,unknown,medical student,9,0,0,0,96,4,2016-07-28,2016-10-31
chjj8383,nero,practicing doctor,65,1,0,41,110,37,2016-08-02,2018-01-28
小米_步枪119,others,practicing doctor,242,2,0,68,1,2,2018-03-15,2018-03-15
ssx764140,unknown,unknown,73,13,0,2,1,6,2003-11-07,2008-08-03
柴郡的猫,unknown,unknown,26,1,0,20,1,1,2016-09-02,2016-09-02
哦阿胶烦不烦,unknown,medical student,3,0,0,2,1,1,2016-06-30,2016-06-30
cy369,nero,practicing doctor,11,0,0,17,669,7,2016-08-08,2018-12-27
streamhe,unknown,unknown,0,0,0,0,3181,47,2005-02-06,2013-11-26
黑视蛋白,unknown,unknown,0,0,0,0,1,5,2016-09-12,2018-08-05
圈莹儿,unknown,unknown,1,0,0,0,1,1,2016-09-04,2016-09-04
langtaogdmc,others,practicing doctor,305,109,1,22,1,9,2004-10-22,2004-11-24
lancetman,others,practicing doctor,307,4,0,183,7,5,2018-03-27,2019-01-25
zhongweiwy,nero,practicing doctor,191,17,0,46,4156,15,2005-11-12,2018-04-12
xuweijia,others,identified doctor,69,1,0,12,1,2,2018-06-11,2018-06-11
梧桐1994,unknown,medical student,0,0,0,1,1,1,2018-12-21,2018-12-21
冯清燕,nero,practicing doctor,18,0,0,8,645,16,2016-12-27,2018-12-28
西毒欧阳疯,unknown,unknown,0,0,0,0,1,10,2016-06-01,2016-11-17
LBX6789,unknown,unknown,29,0,0,0,4,6,2004-06-13,2004-07-25
xingyue007,unknown,unknown,102,21,1,4,164,47,2003-10-12,2004-10-16
喵喵家1234,unknown,unknown,0,0,0,0,1,1,2018-12-08,2018-12-08
这是个好听的昵称,nero,practicing doctor,26,1,0,18,1,5,2016-08-07,2018-01-09
gxx731,unknown,medical student,9,0,0,0,1,3,2015-08-29,2018-01-06
神经兮兮zy,unknown,unknown,9,0,0,0,1,1,2019-02-12,2019-02-12
marstk,others,practicing doctor,45,0,0,4,1,1,2013-01-09,2013-01-09
小东邪黄药师,others,practicing doctor,5349,60,0,22382,602,39,2016-10-08,2019-01-04
kingxjq,unknown,unknown,3,0,0,0,1,1,2004-02-21,2004-02-21
charliezhang,unknown,unknown,85,23,0,5,3,43,2006-01-09,2006-02-28
wjpicu,others,practicing doctor,47,6,0,2,1,3,2006-05-23,2010-07-13
zyingz,unknown,unknown,9,0,0,2,1,1,2018-03-12,2018-03-12
chenfly,others,practicing doctor,41,0,0,4,1,1,2007-05-04,2007-05-04
doctor夏医生,nero,practicing doctor,5,0,0,1,1,1,2016-07-10,2016-07-10
yhw1132,unknown,unknown,0,0,0,0,193,28,2003-08-05,2004-02-14
武陵春2003,unknown,unknown,85,10,0,9,1,5,2006-02-21,2006-05-12
dyj,unknown,unknown,0,0,0,2,1,1,2018-12-31,2018-12-31
wuli小妖,unknown,unknown,0,0,0,0,1,9,2016-10-18,2016-11-22
zhangpinl,others,specialist,95,15,0,0,1,2,2002-10-05,2002-10-11
huan89,nero,practicing doctor,7,0,0,1,1,1,2015-02-04,2015-02-04
qingsong,nero,practicing doctor,72,11,0,2,3633,32,2005-06-06,2015-12-12
doctor__h,nero,practicing doctor,36,0,0,17,692,8,2016-05-18,2018-04-14
kang3509,nero,practicing doctor,124,2,0,8,762,14,2012-06-18,2018-06-05
探赜索隐,others,practicing doctor,26,1,0,22,1,1,2016-08-28,2016-08-28
duanying72,others,specialist,454,53,2,22,1,1,2005-07-02,2005-07-02
dxy_o7ytpmv,unknown,unknown,0,-7,0,295,119,4,2018-11-04,2019-03-25
emy荣儿,unknown,medical student,182,5,0,220,1,39,2015-11-11,2017-06-21
恐龙之乡,unknown,identified doctor,230,4,0,60,1893,32,2011-08-17,2017-08-08
quankunliu,unknown,unknown,32,10,0,0,611,13,2005-02-20,2006-10-23
赛西雅拉图,unknown,unknown,0,0,0,3,1,5,2018-12-30,2019-02-28
擎天圣,others,practicing doctor,175,1,0,1238,13,7,2018-05-29,2018-07-12
amemiya,others,practicing doctor,9,0,0,2,1104,10,2015-06-10,2018-11-07
lidoc,nero,practicing doctor,160,13,0,12,4157,19,2005-01-05,2017-04-22
zhangyuhui,unknown,unknown,72,7,0,4,34,8,2005-06-03,2005-07-31
团子1994,unknown,unknown,0,0,0,0,1,5,2018-01-17,2018-07-04
zjg000,unknown,unknown,59,6,0,0,4,25,2005-05-18,2006-02-11
ajgong,unknown,unknown,216,27,0,14,683,33,2003-11-12,2006-08-26
神外v菜鸟,unknown,practicing doctor,520,22,1,958,231,3,2016-03-10,2016-10-26
劈空掌,unknown,medical student,3,0,0,23,33,3,2018-12-18,2019-01-19
dxy_fl39pvv3,unknown,unknown,0,0,0,0,1,1,2017-03-23,2017-03-23
潇湘风雨,unknown,unknown,11,0,0,0,1,3,2007-10-23,2015-03-23
我不邋遢,others,practicing doctor,19,0,0,12,1,1,2014-09-19,2014-09-19
rx4446,unknown,practicing doctor,1247,23,0,797,845,23,2014-01-05,2017-01-25
cp2006190425,unknown,unknown,81,0,0,11,1,2,2016-05-17,2016-07-15
上帝是个笨蛋,others,practicing doctor,43,1,0,1270,1,1,2018-06-06,2018-06-06
七月飞行,unknown,unknown,14,0,0,0,1,1,2009-07-08,2009-07-08
13069115012ldz,others,practicing doctor,40,0,0,17,6,5,2016-07-29,2016-12-06
医路安全,nero,practicing doctor,56,2,0,18,127,37,2018-01-22,2018-12-17
li15839152337,unknown,unknown,22,1,0,45,1,1,2016-12-22,2016-12-22
dxy_053ahp2,unknown,unknown,3,0,0,0,1,1,2016-12-23,2016-12-23
小饼,unknown,unknown,37,7,1,4,14,20,2003-03-30,2005-04-19
ly25343,nero,identified doctor,99,4,0,150,676,35,2016-02-04,2019-01-05
surgeonwd,nero,practicing doctor,73,6,1,4,14,51,2004-09-30,2005-06-30
zwyiori,others,practicing doctor,28,0,0,16,284,6,2015-11-03,2016-08-12
地尔硫卓,unknown,unknown,19,0,0,8,1,1,2015-04-09,2015-04-09
杏林小白,others,practicing doctor,196,3,0,191,1,7,2016-06-16,2017-03-28
doctorwangxiaoli,nero,practicing doctor,33,0,0,3,2097,2,2013-06-02,2019-02-27
ltao829,unknown,unknown,254,28,0,14,1809,24,2004-07-25,2009-07-07
lanhaicx,unknown,unknown,0,0,0,0,456,4,2017-02-28,2018-06-22
netwhp,unknown,unknown,312,54,0,18,1,1,2005-12-05,2005-12-05
maozirong,others,practicing doctor,18,0,0,2,1,1,2016-03-08,2016-03-08
海浪涛涛,others,practicing doctor,61,0,0,1,198,2,2012-10-21,2013-05-06
melonliu,nero,practicing doctor,57,8,0,4,3448,5,2004-11-05,2015-04-11
凤霜高洁,unknown,unknown,0,0,0,0,1,1,2017-03-27,2017-03-27
dxy921,unknown,unknown,65,0,0,67,440,14,2016-10-08,2018-07-23
jianke7298,others,practicing doctor,80,0,0,19,1,1,2012-06-21,2012-06-21
fangxinggen,unknown,unknown,14,1,0,0,1,2,2004-11-17,2004-11-23
VonNuro,nero,identified doctor,110,1,0,152,1,13,2016-06-25,2019-02-24
无敌庸医,nero,practicing doctor,23,0,0,2,1,3,2016-01-06,2018-02-22
cattigerrabbie,unknown,unknown,29,2,0,0,8,18,2006-01-28,2006-02-15
牙牙小月月,others,practicing doctor,590,37,0,1026,158,6,2014-08-22,2016-08-11
杜仲君,nero,practicing doctor,79,4,0,16,1,6,2013-10-26,2017-08-23
Gammaknife,unknown,unknown,48,4,0,1,1,41,2003-07-12,2004-08-16
悟空嘚蓝天,unknown,medical student,97,2,0,103,28,8,2016-04-26,2016-05-23
wxhuang119,nero,specialist,110,16,0,31,1141,4,2010-08-31,2016-04-30
crh909,nero,practicing doctor,2,0,0,4,1,3,2018-12-26,2019-02-13
liuwei2008,nero,practicing doctor,136,8,0,12,2200,23,2006-11-25,2018-08-15
zs1273,nero,practicing doctor,315,2,0,529,1018,25,2016-05-02,2019-02-13
大鲁出奇迹,unknown,medical student,151,1,0,67,905,5,2014-04-18,2019-02-27
szg8182,others,practicing doctor,56,0,0,420,1,1,2017-02-02,2017-02-02
little2000,nero,specialist,83,19,0,0,137,15,2003-02-06,2005-02-28
三叉神经,unknown,unknown,27,2,0,2,212,18,2003-07-09,2005-02-16
tianxiaojun,unknown,unknown,28,2,0,0,1,3,2005-05-10,2006-10-23
fulantong,nero,specialist,63,17,0,0,107,14,2005-04-29,2005-08-13
zhongyou,nero,practicing doctor,27,0,0,2,22,2,2012-02-25,2012-03-17
jia8061,nero,practicing doctor,65,2,0,1,352,18,2004-08-30,2005-08-28
937122342何花花,nero,practicing doctor,201,10,0,88,400,47,2015-12-02,2017-03-24
burkitt,nero,practicing doctor,55,0,0,6,1,4,2017-01-17,2017-09-18
Qinjiexing,nero,practicing doctor,250,4,0,11,44,9,2011-09-27,2014-01-15
candou77,nero,practicing doctor,107,7,1,2,1,21,2004-06-11,2015-08-05
小伟,unknown,practicing doctor,83,1,0,1,1,7,2005-12-15,2005-12-15
dxfdzch,nero,practicing doctor,228,5,0,6,100,62,2005-09-19,2011-11-02
greatbanner,unknown,unknown,86,0,1,0,965,16,2003-01-15,2007-03-27
xbb19730559,nero,practicing doctor,158,3,0,251,5647,31,2003-08-31,2019-04-09
小勇子0927,others,practicing doctor,259,1,0,173,1,5,2016-07-15,2016-12-05
xuinmanheart,unknown,unknown,11,0,0,0,1,1,2013-09-09,2013-09-09
neurongai,unknown,unknown,154,22,2,7,961,76,2002-09-21,2005-05-29
wslxp001,others,identified doctor,550,101,0,1332,1,8,2017-09-19,2017-11-15
aixiumei,nero,practicing doctor,9,0,0,0,3,6,2016-01-05,2017-12-18
lili552,nero,practicing doctor,50,4,0,0,82,4,2006-11-08,2007-05-02
雨走龙蛇,unknown,unknown,5,2,0,0,2,4,2005-12-02,2005-12-07
笑看风云9801241,nero,practicing doctor,37,2,0,2,339,9,2012-06-02,2014-12-03
specil夏末,nero,practicing doctor,88,1,0,48,131,30,2016-10-23,2017-11-02
东南西北中发白,unknown,unknown,31,0,0,22,115,12,2017-02-06,2019-02-18
合理化,unknown,medical student,9,0,0,6,18,4,2018-12-10,2019-01-19
NSGBzjp,unknown,unknown,1,0,0,0,1,1,2016-08-22,2016-08-22
周季平,others,practicing doctor,55,0,0,5,1,6,2013-09-27,2015-09-19
lyhuangzhen,nero,practicing doctor,34,0,0,40,1,6,2014-02-08,2019-03-08
wangbang,nero,practicing doctor,34,1,0,1,1,12,2005-05-03,2009-08-25
258582694,nero,practicing doctor,347,126,0,503,1490,100,2012-10-29,2018-10-18
jydxy,nero,practicing doctor,43,2,0,15,754,5,2012-03-02,2018-12-05
经方医学临床基地,unknown,unknown,6,0,0,0,1,1,2018-01-11,2018-01-11
applenasa,nero,practicing doctor,17,1,0,14,5392,8,2003-05-29,2018-03-14
诅咒我,unknown,unknown,1897,0,0,2189,1,2,2016-05-03,2018-06-10
左岸向右1991,unknown,medical student,9,0,0,0,1,1,2017-09-25,2017-09-25
风月神杀生丸,nero,practicing doctor,163,1,0,91,22,27,2016-01-03,2019-03-29
liugb900604,unknown,unknown,1,0,0,1,1,1,2017-02-01,2017-02-01
神外陈图南,nero,practicing doctor,7,0,0,3,1,5,2017-02-16,2017-08-11
ysx196308010099,nero,practicing doctor,22,1,0,2,1,10,2015-05-12,2016-03-08
guo1122,others,practicing doctor,698,11,0,209,1,1,2017-06-25,2017-06-25
seazonwind,unknown,unknown,9,1,0,0,1,5,2005-08-15,2005-08-15
爱心小标兵,others,practicing doctor,8,0,0,145,1,1,2018-12-24,2018-12-24
沧海几欲,others,practicing doctor,54,4,0,26,1,4,2016-11-28,2017-03-08
pengyizhi008,nero,practicing doctor,72,15,0,7,945,20,2003-09-03,2016-07-29
血管科学,nero,practicing doctor,117,5,0,13,1,60,2014-04-03,2014-08-06
xia_j1984,nero,practicing doctor,6,0,0,0,1,3,2016-04-02,2016-04-02
Dr法赛奇,others,practicing doctor,98,0,0,68,1,1,2018-03-29,2018-03-29
norman_xie,others,practicing doctor,1101,241,3,27,1,3,2004-11-20,2004-12-16
dxy_fdyxd329,unknown,unknown,0,0,0,0,1,1,2018-08-23,2018-08-23
Incohatus,nero,practicing doctor,51,6,0,52,1,26,2015-10-21,2018-04-09
jimmqw76,unknown,unknown,97,0,0,2,212,25,2003-07-25,2004-02-21
草戒指_8308,nero,practicing doctor,29,1,0,0,1,1,2016-06-28,2016-06-28
jqd,unknown,unknown,4,0,0,0,1,1,2005-08-02,2005-08-02
果果爱糖糖,unknown,unknown,1,0,0,0,1,1,2017-11-16,2017-11-16
xxzz1980,nero,practicing doctor,30,1,0,10,406,3,2016-08-25,2017-10-04
生命不息,unknown,unknown,45,7,0,2,3,19,2004-01-07,2004-07-11
tzw7755,unknown,unknown,61,3,0,0,10,36,2005-09-04,2006-01-21
sjnkttk,others,practicing doctor,188,4,0,239,11,32,2016-01-08,2018-08-04
rockw,unknown,unknown,15,0,0,0,1,7,2005-05-16,2005-06-01
baijinghuang,unknown,unknown,4,0,0,7,1,1,2018-09-13,2018-09-13
freehell,nero,practicing doctor,218,17,1,87,4039,46,2005-04-24,2017-11-23
SHIFOSI,others,practicing doctor,224,7,0,9,392,22,2004-04-01,2005-04-29
yxwlglyyw,unknown,unknown,113,4,0,7,1,6,2006-11-02,2006-12-12
yiwen214,others,practicing doctor,90,1,0,419,551,7,2017-07-08,2019-01-09
nlijian,nero,practicing doctor,113,3,0,6,3832,15,2005-07-10,2016-06-22
qzm505066695,others,practicing doctor,5,0,0,2,1,1,2018-12-05,2018-12-05
wuyingxi,nero,practicing doctor,115,5,0,22,1,27,2014-10-23,2016-06-02
zhouyingchun8,nero,practicing doctor,23,6,0,2,1,6,2006-01-11,2006-08-27
Brightdeer,unknown,unknown,5,0,0,0,359,3,2018-01-11,2019-01-04
发呆专家,unknown,practicing doctor,29,2,0,0,111,3,2005-06-23,2005-10-11
mxy01,nero,specialist,1108,202,2,306,4483,71,2005-12-02,2018-12-23
zhigang073,nero,practicing doctor,25,2,0,2,3499,5,2005-08-24,2015-03-23
liangwei2004,others,practicing doctor,165,8,0,1,1,18,2004-04-05,2005-03-21
隧道里的黑Tun,unknown,medical student,320,1,0,1115,659,24,2017-03-09,2019-03-06
wanglingyan,unknown,unknown,37,1,0,1,17,15,2004-02-06,2004-08-27
wq701,nero,practicing doctor,100,1,0,6,1,10,2016-02-17,2016-05-26
程家医生,unknown,medical student,36,0,0,1,4,8,2016-08-23,2017-12-22
雪上一枝蒿5200,nero,practicing doctor,61,4,0,10,900,21,2015-11-17,2018-05-16
danielzhang,unknown,unknown,12,4,0,0,1,8,2004-05-21,2004-05-31
tianlanlan,unknown,unknown,24,0,0,3,1,5,2005-11-02,2005-11-08
wangzou,nero,practicing doctor,1553,67,0,41,3101,173,2005-09-20,2015-01-03
ado123,nero,practicing doctor,239,9,0,294,277,29,2012-07-13,2019-04-24
不会秒抢的阿某某,unknown,unknown,62,0,0,15,1,1,2017-01-25,2017-01-25
wangwangwang888,nero,practicing doctor,364,8,0,23,1,1,2011-06-05,2011-06-05
有心人,others,practicing doctor,97,15,0,10,1,1,2005-12-31,2005-12-31
lxwsry2003,unknown,unknown,791,434,1,35,1,26,2004-02-09,2004-07-30
苦命的娃娃,nero,practicing doctor,25,0,0,4,1510,5,2014-07-27,2019-01-19
acegik_0,unknown,practicing doctor,39,0,0,7,1,8,2014-01-08,2016-04-13
独行侠wfh,unknown,medical student,34,0,0,1,1,2,2016-11-10,2017-02-20
阿sun,unknown,identified doctor,285,54,4,11,169,8,2003-06-21,2005-07-05
铁马,nero,practicing doctor,115,7,0,7,1172,41,2002-10-20,2017-05-27
songhuaxiao,nero,specialist,93,32,0,3,1,31,2003-07-07,2005-05-28
thefei,unknown,unknown,50,0,0,9,1,2,2015-06-11,2018-08-23
ljl548,nero,identified doctor,130,6,0,40,1519,13,2011-08-08,2016-05-05
xvxiyuan,unknown,unknown,8,1,0,0,1,2,2005-04-06,2005-04-06
晴雨,nero,identified doctor,183,15,0,14,1308,15,2005-11-24,2018-12-01
geruixiang,unknown,medical student,147,0,0,18,1,1,2014-10-16,2014-10-16
sxfygxy,nero,practicing doctor,82,10,0,4,139,22,2005-08-14,2016-08-03
dxy_klmjhud6,unknown,unknown,1,0,0,0,1,1,2016-12-27,2016-12-27
claudeqin,unknown,unknown,21,5,0,0,1,2,2004-08-29,2004-08-29
dcyunpeng,nero,practicing doctor,371,0,0,583,2,12,2015-04-12,2017-05-06
jingzhitao,unknown,unknown,58,10,0,5,134,25,2004-08-02,2005-07-22
jetxg,nero,practicing doctor,88,1,0,21,1617,5,2011-08-15,2016-01-17
liuhs,others,practicing doctor,1679,83,0,159,819,10,2003-06-18,2006-01-16
weimeizhuyi,unknown,unknown,109,0,0,9,6,12,2013-08-17,2017-06-15
xfl2004,nero,specialist,327,41,0,37,11,16,2006-07-20,2018-07-06
xxlahqs,others,practicing doctor,185,7,0,0,1,1,2006-04-07,2006-04-07
wanghongdoctor,unknown,unknown,21,8,0,2,39,12,2003-07-24,2005-03-08
gandengyan,unknown,unknown,0,0,0,0,610,22,2016-07-10,2019-01-19
枫落为风,others,practicing doctor,19,0,0,14,1,1,2016-08-18,2016-08-18
rainyu,unknown,unknown,23,0,0,0,1,1,2010-08-14,2010-08-14
15110664275柴,unknown,unknown,0,0,0,0,1,1,2016-10-09,2016-10-09
sdaa230000,nero,practicing doctor,294,11,0,5,2851,16,2004-09-08,2013-01-11
ptmjq,nero,practicing doctor,58,18,0,8,435,27,2003-09-07,2005-05-25
舒乐安定,unknown,unknown,6,0,0,0,1,3,2005-12-05,2005-12-05
zoey198x,nero,identified doctor,159,5,0,30,1,13,2011-12-29,2017-10-04
faraway0106,unknown,medical student,4,1,0,3,15,6,2018-12-10,2018-12-25
太阳ws,unknown,unknown,0,0,0,0,1,2,2016-11-03,2016-11-03
Jasonyan123,unknown,unknown,6,0,0,31,1,1,2016-07-04,2016-07-04
青锋,nero,practicing doctor,67,14,0,0,674,30,2002-09-24,2005-04-18
lgh135246,nero,practicing doctor,10,0,0,5,4,6,2017-02-20,2017-03-22
斯特蓝灵,unknown,unknown,3,0,0,0,1,1,2013-02-21,2013-02-21
忍者神龟s,unknown,medical student,3,1,0,7,1,3,2017-03-14,2019-02-08
筱攸107,unknown,medical student,10,0,0,3,1,2,2018-04-26,2018-04-30
16376762,unknown,unknown,23,3,0,1,1,5,2006-01-14,2006-01-18
杏林春暖小郎中,unknown,medical student,42,0,0,30,83,10,2017-12-27,2019-03-20
bluesky3,nero,practicing doctor,37,0,0,21,1,27,2016-11-13,2018-03-01
autumnsun,unknown,identified doctor,553,55,0,45,277,12,2005-05-03,2006-02-16
ivyguard,others,specialist,435,86,0,41,1,2,2004-05-19,2004-07-08
albenit,unknown,unknown,197,8,2,6,1,2,2003-02-10,2003-06-12
南海苦竹,nero,practicing doctor,177,22,0,107,391,25,2011-11-08,2019-01-21
中华之英,others,practicing doctor,2,0,0,1,1,1,2016-08-31,2016-08-31
youshalei,nero,specialist,111,42,1,9,42,35,2005-07-18,2005-11-15
打开盒子,others,practicing doctor,57,5,1,99,967,40,2016-05-16,2019-03-07
Mayhorse,unknown,unknown,42,8,0,1,84,3,2005-06-21,2005-09-12
旷小宇,nero,practicing doctor,130,9,0,143,872,129,2012-06-29,2019-03-12
杜真真,nero,practicing doctor,35,1,0,7,1,1,2019-02-27,2019-02-27
dxy_6e4r4mw9,unknown,unknown,1,0,0,8,1,1,2017-02-02,2017-02-02
不会游泳的鱼,unknown,unknown,9,0,0,0,82,5,2003-05-24,2003-08-13
huangyingwen,nero,practicing doctor,21,1,0,10,164,13,2016-08-06,2017-02-03
bestman992002,nero,practicing doctor,44,1,0,4,53,8,2016-06-10,2016-08-28
MichaelTANKstar,others,practicing doctor,89,1,0,94,53,13,2016-07-07,2016-09-27
bee,unknown,unknown,0,0,1,6,1,1,2009-05-11,2009-05-11
dxy_noahvdb,unknown,unknown,0,0,0,0,1,1,2019-01-25,2019-01-25
2006lj,others,practicing doctor,125,14,0,80,69,12,2016-07-02,2017-02-21
ruijie9988,unknown,unknown,0,0,0,0,1,2,2016-11-02,2016-11-02
partydream,others,practicing doctor,90,3,0,143,1,2,2016-09-03,2016-09-20
伊CMIQ,unknown,unknown,0,0,0,0,1,1,2018-12-06,2018-12-06
几缕残红,unknown,unknown,0,0,0,0,1,5,2016-08-06,2018-09-03
亦龙,unknown,unknown,176,48,2,2,1,1,2003-06-17,2003-06-17
tlindsay,nero,practicing doctor,29,2,1,47,1,24,2016-05-13,2019-01-20
zxb597ok,unknown,unknown,23,0,0,11,1,1,2016-07-26,2016-07-26
眉间一点红,unknown,medical student,58,0,0,335,1,1,2016-11-08,2016-11-08
11138274dong,unknown,unknown,0,0,0,0,1,15,2014-09-16,2016-10-27
gong志ming,unknown,unknown,1,0,0,0,1,1,2018-12-06,2018-12-06
wavewave,nero,identified doctor,45,1,0,1,1,9,2004-09-11,2014-02-18
小住院一枚呀,nero,practicing doctor,104,11,0,100,820,77,2016-08-26,2018-12-22
旅行没有她,unknown,medical student,0,0,0,0,1,1,2018-11-20,2018-11-20
color欢,unknown,unknown,0,0,0,15,1,1,2018-12-06,2018-12-06
francisshaw,nero,practicing doctor,67,0,0,17,1,1,2016-06-29,2016-06-29
nq5577,unknown,unknown,3,0,0,15,1,1,2015-12-15,2015-12-15
脑血管,unknown,unknown,538,42,0,19,684,76,2003-11-11,2017-11-06
Zhangmin1525,nero,practicing doctor,323,5,0,82,1,3,2017-09-26,2018-01-31
jiaguowu,nero,practicing doctor,50,1,0,11,1039,14,2013-11-10,2016-09-13
zhaoyl7292898,unknown,medical student,7,0,0,7,1,2,2016-08-03,2016-09-01
shzn,nero,practicing doctor,39,4,0,0,26,21,2004-01-17,2005-05-27
愿语,nero,practicing doctor,85,13,0,27,94,11,2016-01-07,2018-06-11
傻渣x,others,practicing doctor,1,0,0,19,1,2,2019-01-05,2019-01-10
karakoram2,unknown,practicing doctor,90,9,2,65,73,53,2015-06-06,2019-01-11
mldqtww,unknown,practicing doctor,147,1,0,25,1,8,2013-10-13,2017-03-21
cygplhcr,nero,practicing doctor,265,19,0,99,475,55,2014-09-02,2018-05-15
tianlong8899,others,practicing doctor,165,1,0,52,1,9,2015-12-17,2017-12-27
hpgy,nero,identified doctor,167,10,0,6,489,4,2006-03-05,2007-07-08
zjhta,nero,practicing doctor,547,114,1,43,415,15,2007-01-15,2008-06-01
chengminys,nero,practicing doctor,2,0,0,0,1,1,2015-02-04,2015-02-04
杏林一小书生,unknown,medical student,363,5,0,1358,1,2,2017-02-06,2018-10-14
青山绿水雪松,others,practicing doctor,463,2,0,693,759,7,2016-12-22,2019-01-19
风筝的语言89,unknown,medical student,139,1,0,10,1,30,2016-06-17,2018-12-17
lyxsunshine,others,practicing doctor,48,0,0,238,1088,4,2016-03-11,2019-03-03
huangjiazhan,others,practicing doctor,2202,244,7,56,1,3,2002-10-08,2003-01-27
huchfe,nero,specialist,112,28,0,61,276,18,2015-03-20,2016-12-17
saber,nero,practicing doctor,39,3,0,4,1,7,2004-01-11,2004-01-25
LWX5281618,nero,practicing doctor,8,0,0,3,31,3,2016-01-30,2016-05-01
neuro5197,nero,practicing doctor,95,7,0,4,18,41,2004-11-29,2005-06-25
mzgpeter,unknown,unknown,73,6,0,4,334,23,2004-06-06,2014-10-20
congcong,unknown,unknown,10,0,0,1,5,6,2003-06-22,2003-06-26
liumin091,unknown,unknown,7,0,0,0,1,1,2011-02-15,2011-02-15
mooncat,unknown,unknown,335,18,0,15,1,7,2004-07-08,2004-10-12
lhkwangjunpeng,others,practicing doctor,37,1,0,57,1076,5,2016-01-23,2019-01-02
kangfuzx,nero,practicing doctor,301,23,0,24,112,13,2005-06-20,2009-04-09
giftedbird,unknown,unknown,18,1,0,1,16,12,2003-06-17,2004-10-29
haisir,others,practicing doctor,66,2,0,6,1,1,2005-08-03,2005-08-03
kaka30670496,nero,practicing doctor,23,1,0,0,1,1,2017-12-28,2017-12-28
jasket,unknown,unknown,69,2,0,1,148,9,2004-09-29,2005-11-27
毛花苷,unknown,practicing doctor,702,2,0,999,195,27,2016-11-12,2017-07-03
ranran0909,unknown,unknown,12,1,0,145,1,1,2018-09-15,2018-09-15
喵大夫,unknown,unknown,1,0,0,0,1,1,2019-04-04,2019-04-04
zzx120,unknown,unknown,192,22,0,5,505,7,2003-06-17,2004-11-02
wushuang,unknown,unknown,112,1,0,1,3974,18,2005-12-11,2016-11-23
一行,unknown,unknown,25,3,0,0,53,16,2004-02-04,2004-03-28
rootion,nero,practicing doctor,416,34,0,12,782,117,2004-11-15,2015-05-11
wwwzf,others,specialist,84,16,0,0,5,18,2004-09-02,2005-11-23
xia_yu007,nero,practicing doctor,36,4,0,64,1,23,2016-08-04,2016-11-19
echozzz,unknown,medical student,9,0,0,44,1,1,2018-11-27,2018-11-27
浅煜儿,unknown,unknown,1,0,0,0,1,1,2018-02-01,2018-02-01
iszf,unknown,unknown,0,0,0,0,1,1,2016-10-21,2016-10-21
zhufeng77,unknown,unknown,1,0,0,0,1,1,2017-02-06,2017-02-06
我爱恒恒,nero,practicing doctor,129,27,0,426,710,10,2014-11-29,2018-07-31
lsqun,unknown,unknown,0,0,0,0,1,1,2016-10-05,2016-10-05
24小时在岗,unknown,unknown,27,1,0,1052,1,5,2018-06-07,2018-06-07
maomaoteng,unknown,unknown,12,0,0,0,1,2,2006-08-09,2015-04-24
freeze,nero,practicing doctor,39,5,0,3,1,10,2004-02-24,2015-05-07
囧脸大叔,unknown,unknown,92,0,0,3,1,2,2012-08-31,2012-08-31
dabao,unknown,unknown,906,151,4,62,1,1,2005-09-25,2005-09-25
allrubbish,unknown,unknown,29,0,0,1,1,3,2016-08-18,2016-08-31
wanda9,nero,identified doctor,41,6,0,2,1,5,2005-07-26,2018-08-29
baotaicheng,nero,practicing doctor,26,2,0,0,1,7,2005-11-24,2006-02-27
6300611wang,unknown,medical student,162,13,0,99,300,93,2016-04-09,2018-11-13
